Country Name,Urban_GG_Emissions
Australia,35825513.93764644
Austria,4065351.132606637
Belarus,4898939.5027334
Belgium,9557424.635266175
Bulgaria,3539432.580833725
Canada,46462147.676663846
Croatia,1060623.2549575367
Cyprus,503842.6725966488
Denmark,3184115.1068440666
Estonia,1281879.123531418
European Union,261225058.49001917
Finland,3814445.2114366223
France,28246193.337256398
Germany,61651682.041155115
Greece,5892085.551425488
Hungary,3527942.947242014
Iceland,338942.16075014375
Ireland,2437785.4862935226
Italy,24479649.854325637
Japan,108754790.61062796
Latvia,492538.77375439176
Liechtenstein,2220.813435319916
Lithuania,920102.558141945
Luxembourg,838631.4963979735
Malta,152092.9215424627
Monaco,7326.58077578415
Netherlands,14980203.548840107
New Zealand,3114827.5143139446
Norway,3577945.143160674
Poland,20228744.627536684
Portugal,3533732.4993430413
Romania,4045105.851426936
Russian Federation,122361975.97731434
Slovenia,773901.1462571998
Spain,21976130.283772305
Sweden,3664479.3972880724
Switzerland,2815585.8887580517
Turkey,31748302.959548138
Ukraine,15457094.770040056
United Kingdom,32267889.45977901
