"Country or Area","Year","Value"
"Australia","2017","417041.277910766"
"Austria","2017","69978.846913737"
"Belarus","2017","62699.202686838"
"Belgium","2017","97563.5674938616"
"Bulgaria","2017","47401.6336208296"
"Canada","2017","571138.877402137"
"Croatia","2017","18716.7708711867"
"Cyprus","2017","7538.49231846084"
"Czechia","2017","105607.268219928"
"Denmark","2017","36283.3176480972"
"Estonia","2017","18654.4686690545"
"European Union","2017","3515490.06658933"
"Finland","2017","44704.8955339774"
"France","2017","352284.775969773"
"Germany","2017","797966.400139205"
"Greece","2017","74844.844665229"
"Hungary","2017","49645.9844536041"
"Iceland","2017","3614.496291578"
"Ireland","2017","38727.5880708139"
"Italy","2017","348991.358552772"
"Japan","2017","1188122.47348695"
"Latvia","2017","7235.23722004248"
"Liechtenstein","2017","155.138905715677"
"Lithuania","2017","13627.9186880435"
"Luxembourg","2017","9243.46111298702"
"Malta","2017","1608.6658509346"
"Monaco","2017","73.2658077578415"
"Netherlands","2017","164478.447344995"
"New Zealand","2017","36023.7262544115"
"Norway","2017","43702.2284222823"
"Poland","2017","336556.769445748"
"Portugal","2017","54657.7445298373"
"Romania","2017","74998.2544390933"
"Russian Federation","2017","1647041.08083393"
"Slovakia","2017","36033.6431760266"
"Slovenia","2017","14259.4134515726"
"Spain","2017","274427.201345808"
"Sweden","2017","42049.8863664204"
"Switzerland","2017","38171.7423673493"
"Turkey","2017","425329.603980871"
"Ukraine","2017","223220.038269937"
"United Kingdom","2017","388101.096421575"
"United States of America","2017","5270748.52543583"

