country,Urban_GG_Emissions
Australia,35825513
Austria,4065351
Belarus,4898939
Belgium,9557424
Bulgaria,3539432
Canada,46462147
Croatia,1060623
Cyprus,503842
Denmark,3184115
Estonia,1281879
European Union,261225058
Finland,3814445
France,28246193
Germany,61651682
Greece,5892085
Hungary,3527942
Iceland,338942
Ireland,2437785
Italy,24479649
Japan,108754790
Latvia,492538
Liechtenstein,2220
Lithuania,920102
Luxembourg,838631
Malta,152092
Monaco,7326
Netherlands,14980203
New Zealand,3114827
Norway,3577945
Poland,20228744
Portugal,3533732
Romania,4045105
Russian Federation,122361975
Slovenia,773901
Spain,21976130
Sweden,3664479
Switzerland,2815585
Turkey,31748302
Ukraine,15457094
United Kingdom,32267889
