country,illiterate_people_in_2018
Afghanistan,2791022.0
Aland Islands,
Albania,3076.0
Algeria,156217.0
American Samoa,
Andorra,
Angola,
Anguilla,
Antigua and Barbuda,
Argentina,35374.0
Armenia,
Aruba,76.0
Australia,
Austria,
Azerbaijan,
Bahamas,
Bahrain,599.0
Bangladesh,2052958.0
Barbados,
Belarus,1395.0
Belgium,
Belize,
Benin,890035.0
Bermuda,
Bhutan,
Bolivia Plurinational State of,
Bosnia and Herzegovina,
Botswana,
Brazil,269941.0
British Virgin Islands,
Brunei Darussalam,203.0
Bulgaria,
Burkina Faso,1651809.0
Burundi,
Cambodia,
Cameroon,745178.0
Canada,
Cabo Verde,
Cayman Islands,
Central African Republic,623445.0
Chad,
Channel Islands,
Chile,
China,375315.0
China Hong Kong Special Administrative Region,
China Macao Special Administrative Region,
Colombia,100407.0
Comoros,35376.0
Congo,175683.0
Cook Islands,
Costa Rica,4465.0
CAte dIvoire,2153690.0
Croatia,
Cuba,
CuraAao,
Cyprus,
Czechia,
Democratic Peoples Republic of Korea,
Democratic Republic of the Congo,
Denmark,
Djibouti,
Dominica,
Dominican Republic,
Ecuador,
Egypt,
El Salvador,25663.0
Equatorial Guinea,
Eritrea,42012.0
Estonia,
Eswatini,10901.0
Ethiopia,
Faeroe Islands,
Falkland Islands Malvinas,
Fiji,
Finland,
France,
French Guiana,
French Polynesia,
Gabon,37498.0
Gambia,
Georgia,
Germany,
Ghana,434946.0
Gibraltar,
Greece,8834.0
Greenland,
Grenada,
Guadeloupe,
Guam,
Guatemala,
Guernsey,
Guinea,
GuineaBissau,
Guyana,
Haiti,
Holy See,
Honduras,70561.0
Hungary,
Iceland,
India,20537897.0
Indonesia,132963.0
Iran Islamic Republic of,
Iraq,
Ireland,
Isle of Man,
Israel,
Italy,3826.0
Jamaica,
Japan,
Jersey,
Jordan,12642.0
Kazakhstan,2371.0
Kenya,1290638.0
Kiribati,
Kuwait,3838.0
Kyrgyzstan,2599.0
Lao Peoples Democratic Republic,
Latvia,309.0
Lebanon,3009.0
Lesotho,
Liberia,
Libya,
Liechtenstein,
Lithuania,
Luxembourg,
Madagascar,1017012.0
Malawi,
Malaysia,177089.0
Maldives,
Mali,1831365.0
Malta,340.0
Marshall Islands,
Martinique,
Mauritania,
Mauritius,1850.0
Mayotte,
Mexico,150913.0
Micronesia Federated States of,
Monaco,
Mongolia,6289.0
Montenegro,736.0
Montserrat,
Morocco,134010.0
Mozambique,
Myanmar,
Namibia,23564.0
Nauru,
Nepal,481015.0
Netherlands,
Netherlands Antilles,
New Caledonia,
New Zealand,
Nicaragua,
Niger,2439788.0
Nigeria,9364626.0
Niue,
Norfolk Island,
North Macedonia,
Northern Mariana Islands,
Norway,
Oman,8843.0
Pakistan,
Palau,
Palestine,6679.0
Panama,6251.0
Papua New Guinea,
Paraguay,23056.0
Peru,51730.0
Philippines,
Pitcairn,
Poland,
Portugal,3614.0
Puerto Rico,
Qatar,
Republic of Korea,
Republic of Moldova,
RAunion,
Romania,11672.0
Russian Federation,41868.0
Rwanda,326906.0
Saint Helena,
Saint Kitts and Nevis,
Saint Lucia,
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,
SaintBarthAlemy,
SaintMartin French part,
Samoa,306.0
San Marino,
Sao Tome and Principe,898.0
Saudi Arabia,
Senegal,
Serbia,
Seychelles,122.0
Sierra Leone,517840.0
Singapore,515.0
Sint Maarten Dutch part,
Slovakia,
Slovenia,
Solomon Islands,
Somalia,
South Africa,
South Sudan,1156721.0
Spain,12738.0
Sri Lanka,38104.0
Sudan,2295747.0
Sudan presecession,
Suriname,1341.0
Svalbard and Jan Mayen Islands,
Sweden,
Switzerland,
Syrian Arab Republic,
Tajikistan,
Thailand,176350.0
TimorLeste,45044.0
Togo,
Tokelau,
Tonga,113.0
Trinidad and Tobago,
Tunisia,
Turkey,
Turkmenistan,
Turks and Caicos Islands,
Tuvalu,
Uganda,939689.0
Ukraine,
United Arab Emirates,
United Kingdom of Great Britain and Northern Ireland,
United Republic of Tanzania,
United States of America,
United States Virgin Islands,
Uruguay,5697.0
Uzbekistan,4.0
Vanuatu,1974.0
Venezuela Bolivarian Republic of,
Viet Nam,223705.0
Wallis and Futuna Islands,
Western Sahara,
Yemen,
Zambia,285071.0
Zimbabwe,
Sustainable Development Goal Regions,
World,101284135.0
Landlocked Developing Countries,22775100.0
Least Developed Countries,45189536.0
Small Island Developing States,1236841.0
Africa SubSaharan ,49117843.0
Western Asia and Northern Africa,9490611.0
Africa Northern,4491721.0
Asia Western,4998890.0
Asia Central and Southern,36338467.0
Asia Central,8565.0
Asia Southern,36329902.0
Asia Eastern and Southeastern,3446291.0
Asia Eastern,821017.0
Asia Southeastern,2625274.0
Latin America and the Caribbean,1578618.0
Oceania,
Oceania AustraliaNew Zealand,
Oceania excl. AustraliaNew Zealand,
Northern America and Europe,
Europe,
Northern America ,
UIS Regions,
World,101284135.0
Arab States,9765866.0
Central and Eastern Europe,149618.0
Central Asia,17009.0
East Asia and the Pacific,4212141.0
Latin America and the Caribbean,1578901.0
North America and Western Europe,
South and West Asia,36329902.0
SubSaharan Africa,48798221.0
Small Island Developing States,1208705.0
World Bank Income Groups,
Low income countries,35997906.0
Lower middle income countries,57935946.0
Middle income countries,64011695.0
Upper middle income countries,6075749.0
High income countries,
