country,Tax Rank,Tax Score
Estonia,1,100.0
Latvia,2,84.4
New Zealand,3,82.4
Switzerland,4,77.1
Luxembourg,5,76.0
Lithuania,6,75.8
Sweden,7,74.0
Czech Republic,8,73.1
Australia,9,71.4
Slovak Republic,10,69.9
Turkey,11,69.9
Austria,12,68.7
Norway,13,68.1
Hungary,14,67.9
Germany,15,67.9
Finland,16,65.7
Netherlands,17,65.5
Canada,18,65.3
Belgium,19,64.1
Ireland,20,63.1
United States,21,62.9
United Kingdom,22,61.6
Slovenia,23,61.4
Korea,24,59.9
Israel,25,59.2
Japan,26,59.1
Spain,27,58.5
Denmark,28,58.3
Greece,29,55.9
Iceland,30,55.4
Mexico,31,51.5
France,32,50.7
Portugal,33,46.9
Poland,34,46.6
Chile,35,46.3
Italy,36,44.3
